Job_ID,Machine_ID,Job_Status,orig_Scheduled_start,orig_Scheduled_end,pred_abnormal_prob,priority_score,optimized_start,optimized_end,Processing_Time,Energy_Consumption
J001,M01,Completed,2023-03-18 08:00:00,2023-03-18 09:16:00,0.0,0.18068538734810777,2023-03-18 08:00:00,2023-03-18 09:16:00,76.0,11.42
J002,M01,Delayed,2023-03-18 08:10:00,2023-03-18 09:29:00,1.0,0.760514445851117,2023-03-18 09:16:00,2023-03-18 10:35:00,79.0,6.61
J010,M01,Delayed,2023-03-18 09:30:00,2023-03-18 09:57:00,0.9933333333333333,0.8645829845860196,2023-03-18 10:35:00,2023-03-18 11:02:00,27.0,3.66
J005,M01,Completed,2023-03-18 08:40:00,2023-03-18 09:26:00,0.0,0.3485231100210987,2023-03-18 11:02:00,2023-03-18 11:48:00,46.0,8.13
J011,M01,Completed,2023-03-18 09:40:00,2023-03-18 10:45:00,0.0,0.2619694233790324,2023-03-18 11:48:00,2023-03-18 12:53:00,65.0,9.98
J026,M01,Completed,2023-03-18 12:10:00,2023-03-18 12:31:00,0.0,0.42903633892674375,2023-03-18 12:53:00,2023-03-18 13:14:00,21.0,3.89
J016,M01,Completed,2023-03-18 10:30:00,2023-03-18 11:35:00,0.0,0.1947698129463999,2023-03-18 13:14:00,2023-03-18 14:19:00,65.0,12.29
J034,M01,Delayed,2023-03-18 13:30:00,2023-03-18 15:20:00,0.9933333333333333,0.5783547453389972,2023-03-18 14:19:00,2023-03-18 16:09:00,110.0,12.52
J038,M01,Completed,2023-03-18 14:10:00,2023-03-18 14:53:00,0.0,0.3730177941077285,2023-03-18 16:09:00,2023-03-18 16:52:00,43.0,4.98
J050,M01,Delayed,2023-03-18 16:10:00,2023-03-18 17:54:00,1.0,0.7365040777925507,2023-03-18 16:52:00,2023-03-18 18:36:00,104.0,3.09
J060,M01,Completed,2023-03-18 17:50:00,2023-03-18 18:56:00,0.0,0.3319930609188838,2023-03-18 18:36:00,2023-03-18 19:42:00,66.0,8.69
J058,M01,Completed,2023-03-18 17:30:00,2023-03-18 18:53:00,0.02,0.2973933571404316,2023-03-18 19:42:00,2023-03-18 21:05:00,83.0,8.42
J076,M01,Failed,2023-03-18 20:30:00,2023-03-18 22:09:00,0.94,0.5995068169430398,2023-03-18 21:05:00,2023-03-18 22:44:00,99.0,10.01
J077,M01,Completed,2023-03-18 20:40:00,2023-03-18 21:42:00,0.0,0.33990727590848746,2023-03-18 22:44:00,2023-03-18 23:46:00,62.0,7.46
J082,M01,Completed,2023-03-18 21:30:00,2023-03-18 21:54:00,0.006666666666666667,0.27278127664589635,2023-03-18 23:46:00,2023-03-19 00:10:00,24.0,13.39
J040,M01,Completed,2023-03-18 14:30:00,2023-03-18 15:20:00,0.0,0.2632441261358952,2023-03-19 00:10:00,2023-03-19 01:00:00,50.0,9.94
