Job_ID,Machine_ID,Job_Status,orig_Scheduled_start,orig_Scheduled_end,pred_abnormal_prob,priority_score,optimized_start,optimized_end,Processing_Time,Energy_Consumption
J001,M01,Completed,2023-03-18 08:00:00,2023-03-18 09:16:00,0.0,0.1861333441768603,2023-03-18 08:00:00,2023-03-18 09:16:00,76.0,11.42
J002,M01,Delayed,2023-03-18 08:10:00,2023-03-18 09:29:00,1.0,0.7545479848395626,2023-03-18 09:16:00,2023-03-18 10:35:00,79.0,6.61
J010,M01,Delayed,2023-03-18 09:30:00,2023-03-18 09:57:00,0.9933333333333333,0.8556946525883155,2023-03-18 10:35:00,2023-03-18 11:02:00,27.0,3.66
J005,M01,Completed,2023-03-18 08:40:00,2023-03-18 09:26:00,0.0,0.36433729660903236,2023-03-18 11:02:00,2023-03-18 11:48:00,46.0,8.13
J011,M01,Completed,2023-03-18 09:40:00,2023-03-18 10:45:00,0.0,0.2730199245400602,2023-03-18 11:48:00,2023-03-18 12:53:00,65.0,9.98
J026,M01,Completed,2023-03-18 12:10:00,2023-03-18 12:31:00,0.0,0.46504135049300666,2023-03-18 12:53:00,2023-03-18 13:14:00,21.0,3.89
J016,M01,Completed,2023-03-18 10:30:00,2023-03-18 11:35:00,0.0,0.188009982574491,2023-03-18 13:14:00,2023-03-18 14:19:00,65.0,12.29
J034,M01,Delayed,2023-03-18 13:30:00,2023-03-18 15:20:00,0.9933333333333333,0.5426549252968005,2023-03-18 14:19:00,2023-03-18 16:09:00,110.0,12.52
J038,M01,Completed,2023-03-18 14:10:00,2023-03-18 14:53:00,0.0,0.41161879642240906,2023-03-18 16:09:00,2023-03-18 16:52:00,43.0,4.98
J050,M01,Delayed,2023-03-18 16:10:00,2023-03-18 17:54:00,1.0,0.7701771695929656,2023-03-18 16:52:00,2023-03-18 18:36:00,104.0,3.09
J060,M01,Completed,2023-03-18 17:50:00,2023-03-18 18:56:00,0.0,0.3534895913775207,2023-03-18 18:36:00,2023-03-18 19:42:00,66.0,8.69
J058,M01,Completed,2023-03-18 17:30:00,2023-03-18 18:53:00,0.02,0.32847161466227476,2023-03-18 19:42:00,2023-03-18 21:05:00,83.0,8.42
J076,M01,Failed,2023-03-18 20:30:00,2023-03-18 22:09:00,0.94,0.5803260151439764,2023-03-18 21:05:00,2023-03-18 22:44:00,99.0,10.01
