Job_ID,Machine_ID,Job_Status,orig_Scheduled_start,orig_Scheduled_end,pred_abnormal_prob,priority_score,optimized_start,optimized_end,Processing_Time,Energy_Consumption
J001,M01,Completed,2023-03-18 08:00:00,2023-03-18 09:16:00,0.0,0.3214456032026651,2023-03-18 08:00:00,2023-03-18 09:16:00,76.0,11.42
J002,M01,Delayed,2023-03-18 08:10:00,2023-03-18 09:29:00,1.0,0.6673467512071187,2023-03-18 09:16:00,2023-03-18 10:35:00,79.0,6.61
J010,M01,Delayed,2023-03-18 09:30:00,2023-03-18 09:57:00,0.9933333333333333,0.6320246448723301,2023-03-18 10:35:00,2023-03-18 11:02:00,27.0,3.66
J016,M01,Completed,2023-03-18 10:30:00,2023-03-18 11:35:00,0.0,0.36356896480459433,2023-03-18 11:02:00,2023-03-18 12:07:00,65.0,12.29
J023,M01,Completed,2023-03-18 11:40:00,2023-03-18 13:18:00,0.0,0.36216743089702397,2023-03-18 12:07:00,2023-03-18 13:45:00,98.0,13.49
J034,M01,Delayed,2023-03-18 13:30:00,2023-03-18 15:20:00,0.9933333333333333,0.7288538458452816,2023-03-18 13:45:00,2023-03-18 15:35:00,110.0,12.52
J037,M01,Completed,2023-03-18 14:00:00,2023-03-18 15:19:00,0.0,0.3980288925696236,2023-03-18 15:35:00,2023-03-18 16:54:00,79.0,13.17
J050,M01,Delayed,2023-03-18 16:10:00,2023-03-18 17:54:00,1.0,0.5201386190879569,2023-03-18 16:54:00,2023-03-18 18:38:00,104.0,3.09
J056,M01,Completed,2023-03-18 17:10:00,2023-03-18 18:54:00,0.006666666666666667,0.36365664351772387,2023-03-18 18:38:00,2023-03-18 20:22:00,104.0,11.91
J060,M01,Completed,2023-03-18 17:50:00,2023-03-18 18:56:00,0.0,0.3625104086243194,2023-03-18 20:22:00,2023-03-18 21:28:00,66.0,8.69
J076,M01,Failed,2023-03-18 20:30:00,2023-03-18 22:09:00,0.94,0.6504108262179867,2023-03-18 21:28:00,2023-03-18 23:07:00,99.0,10.01
J082,M01,Completed,2023-03-18 21:30:00,2023-03-18 21:54:00,0.006666666666666667,0.4631526464401929,2023-03-18 23:07:00,2023-03-18 23:31:00,24.0,13.39
J005,M01,Completed,2023-03-18 08:40:00,2023-03-18 09:26:00,0.0,0.34745217708065035,2023-03-18 23:31:00,2023-03-19 00:17:00,46.0,8.13
J011,M01,Completed,2023-03-18 09:40:00,2023-03-18 10:45:00,0.0,0.34171691757254313,2023-03-19 00:17:00,2023-03-19 01:22:00,65.0,9.98
J040,M01,Completed,2023-03-18 14:30:00,2023-03-18 15:20:00,0.0,0.33394960028333925,2023-03-19 01:22:00,2023-03-19 02:12:00,50.0,9.94
J058,M01,Completed,2023-03-18 17:30:00,2023-03-18 18:53:00,0.02,0.3250020695353256,2023-03-19 02:12:00,2023-03-19 03:35:00,83.0,8.42
J114,M01,Delayed,2023-03-19 02:50:00,2023-03-19 04:46:00,0.9933333333333333,0.46495269746413825,2023-03-19 03:35:00,2023-03-19 05:31:00,116.0,4.36
J111,M01,Completed,2023-03-19 02:20:00,2023-03-19 04:19:00,0.006666666666666667,0.3648825494523936,2023-03-19 05:31:00,2023-03-19 07:30:00,119.0,13.26
J132,M01,Delayed,2023-03-19 05:50:00,2023-03-19 07:00:00,1.0,0.7900133908128097,2023-03-19 07:30:00,2023-03-19 08:40:00,70.0,10.68
J146,M01,Failed,2023-03-19 08:10:00,2023-03-19 09:12:00,0.9866666666666667,0.525819042205448,2023-03-19 08:40:00,2023-03-19 09:42:00,62.0,2.21
J135,M01,Completed,2023-03-19 06:20:00,2023-03-19 06:43:00,0.013333333333333334,0.4134752803216926,2023-03-19 09:42:00,2023-03-19 10:05:00,23.0,8.31
J148,M01,Completed,2023-03-19 08:30:00,2023-03-19 09:09:00,0.0,0.40187339202700123,2023-03-19 10:05:00,2023-03-19 10:44:00,39.0,9.65
J137,M01,Completed,2023-03-19 06:40:00,2023-03-19 08:11:00,0.0,0.33684591972027034,2023-03-19 10:44:00,2023-03-19 12:15:00,91.0,11.79
J163,M01,Completed,2023-03-19 11:00:00,2023-03-19 11:43:00,0.0,0.4480632228073942,2023-03-19 12:15:00,2023-03-19 12:58:00,43.0,10.4
J174,M01,Delayed,2023-03-19 12:50:00,2023-03-19 14:43:00,1.0,0.7564055508553368,2023-03-19 12:58:00,2023-03-19 14:51:00,113.0,12.49
J182,M01,Failed,2023-03-19 14:10:00,2023-03-19 15:29:00,0.9866666666666667,0.6582557585036495,2023-03-19 14:51:00,2023-03-19 16:10:00,79.0,6.22
J186,M01,Completed,2023-03-19 14:50:00,2023-03-19 16:00:00,0.013333333333333334,0.4288856605443919,2023-03-19 16:10:00,2023-03-19 17:20:00,70.0,12.13
J162,M01,Completed,2023-03-19 10:50:00,2023-03-19 11:48:00,0.0,0.38497471897393953,2023-03-19 17:20:00,2023-03-19 18:18:00,58.0,11.7
J178,M01,Completed,2023-03-19 13:30:00,2023-03-19 14:52:00,0.0,0.36370036114383714,2023-03-19 18:18:00,2023-03-19 19:40:00,82.0,10.58
J209,M01,Delayed,2023-03-19 18:40:00,2023-03-19 20:26:00,0.9933333333333333,0.7394590481340694,2023-03-19 19:40:00,2023-03-19 21:26:00,106.0,11.95
J223,M01,Failed,2023-03-19 21:00:00,2023-03-19 21:58:00,0.9866666666666667,0.7574362965814989,2023-03-19 21:26:00,2023-03-19 22:24:00,58.0,10.74
J229,M01,Completed,2023-03-19 22:00:00,2023-03-19 22:59:00,0.0,0.4782228624567982,2023-03-19 22:24:00,2023-03-19 23:23:00,59.0,13.77
J230,M01,Completed,2023-03-19 22:10:00,2023-03-19 23:15:00,0.0,0.3788430791574073,2023-03-19 23:23:00,2023-03-20 00:28:00,65.0,11.13
J216,M01,Completed,2023-03-19 19:50:00,2023-03-19 20:32:00,0.0,0.3725036724320043,2023-03-20 00:28:00,2023-03-20 01:10:00,42.0,10.46
J208,M01,Completed,2023-03-19 18:30:00,2023-03-19 18:50:00,0.013333333333333334,0.3495649609666841,2023-03-20 01:10:00,2023-03-20 01:30:00,20.0,5.06
J077,M01,Completed,2023-03-18 20:40:00,2023-03-18 21:42:00,0.0,0.3210075071950855,2023-03-20 01:30:00,2023-03-20 02:32:00,62.0,7.46
J255,M01,Completed,2023-03-20 02:20:00,2023-03-20 02:58:00,0.0,0.4741935640790481,2023-03-20 02:32:00,2023-03-20 03:10:00,38.0,11.78
J251,M01,Completed,2023-03-20 01:40:00,2023-03-20 02:01:00,0.02,0.4103663514822258,2023-03-20 03:10:00,2023-03-20 03:31:00,21.0,8.57
J261,M01,Delayed,2023-03-20 03:20:00,2023-03-20 05:04:00,1.0,0.5525778513216619,2023-03-20 03:31:00,2023-03-20 05:15:00,104.0,4.72
J269,M01,Delayed,2023-03-20 04:40:00,2023-03-20 05:05:00,0.9933333333333333,0.7123099997355907,2023-03-20 05:15:00,2023-03-20 05:40:00,25.0,4.0
J273,M01,Delayed,2023-03-20 05:20:00,2023-03-20 06:38:00,0.9933333333333333,0.6496813425083888,2023-03-20 05:40:00,2023-03-20 06:58:00,78.0,5.42
J271,M01,Completed,2023-03-20 05:00:00,2023-03-20 05:21:00,0.0,0.40850196809564654,2023-03-20 06:58:00,2023-03-20 07:19:00,21.0,7.47
J253,M01,Completed,2023-03-20 02:00:00,2023-03-20 02:43:00,0.0,0.39965596720011254,2023-03-20 07:19:00,2023-03-20 08:02:00,43.0,9.9
J277,M01,Completed,2023-03-20 06:00:00,2023-03-20 07:16:00,0.0,0.38552465201586306,2023-03-20 08:02:00,2023-03-20 09:18:00,76.0,12.37
J285,M01,Completed,2023-03-20 07:20:00,2023-03-20 09:06:00,0.0,0.3577934504559808,2023-03-20 09:18:00,2023-03-20 11:04:00,106.0,13.31
J297,M01,Delayed,2023-03-20 09:20:00,2023-03-20 10:39:00,0.98,0.574925211636865,2023-03-20 11:04:00,2023-03-20 12:23:00,79.0,2.05
J283,M01,Completed,2023-03-20 07:00:00,2023-03-20 07:37:00,0.0,0.35434151685224,2023-03-20 12:23:00,2023-03-20 13:00:00,37.0,9.47
J167,M01,Completed,2023-03-19 11:40:00,2023-03-19 12:15:00,0.006666666666666667,0.31902871673399447,2023-03-20 13:00:00,2023-03-20 13:35:00,35.0,7.2
J321,M01,Delayed,2023-03-20 13:20:00,2023-03-20 14:30:00,1.0,0.7242543517384288,2023-03-20 13:35:00,2023-03-20 14:45:00,70.0,10.34
J124,M01,Completed,2023-03-19 04:30:00,2023-03-19 05:10:00,0.0,0.3157440246684229,2023-03-20 14:45:00,2023-03-20 15:25:00,40.0,4.42
J330,M01,Completed,2023-03-20 14:50:00,2023-03-20 15:44:00,0.006666666666666667,0.3569042189005566,2023-03-20 15:25:00,2023-03-20 16:19:00,54.0,8.66
J338,M01,Completed,2023-03-20 16:10:00,2023-03-20 17:21:00,0.006666666666666667,0.40888401031486493,2023-03-20 16:19:00,2023-03-20 17:30:00,71.0,13.97
J344,M01,Completed,2023-03-20 17:10:00,2023-03-20 18:44:00,0.0,0.42042105261159074,2023-03-20 17:30:00,2023-03-20 19:04:00,94.0,14.98
J352,M01,Completed,2023-03-20 18:30:00,2023-03-20 20:03:00,0.0,0.4217312015388119,2023-03-20 19:04:00,2023-03-20 20:37:00,93.0,14.04
J358,M01,Failed,2023-03-20 19:30:00,2023-03-20 20:36:00,0.9866666666666667,0.6910690523375541,2023-03-20 20:37:00,2023-03-20 21:43:00,66.0,8.79
J347,M01,Completed,2023-03-20 17:40:00,2023-03-20 18:53:00,0.0,0.3975304142997457,2023-03-20 21:43:00,2023-03-20 22:56:00,73.0,14.45
J378,M01,Failed,2023-03-20 22:50:00,2023-03-20 23:53:00,0.9933333333333333,0.5859305816482309,2023-03-20 22:56:00,2023-03-20 23:59:00,63.0,4.78
J383,M01,Delayed,2023-03-20 23:40:00,2023-03-21 00:45:00,0.9866666666666667,0.63803111053429,2023-03-20 23:59:00,2023-03-21 01:04:00,65.0,3.68
J384,M01,Completed,2023-03-20 23:50:00,2023-03-21 00:40:00,0.0,0.4043874528128693,2023-03-21 01:04:00,2023-03-21 01:54:00,50.0,11.62
J389,M01,Completed,2023-03-21 00:40:00,2023-03-21 01:51:00,0.0,0.3443539341694413,2023-03-21 01:54:00,2023-03-21 03:05:00,71.0,9.02
J398,M01,Completed,2023-03-21 02:10:00,2023-03-21 03:32:00,0.0,0.4187464188430912,2023-03-21 03:05:00,2023-03-21 04:27:00,82.0,13.87
J404,M01,Delayed,2023-03-21 03:10:00,2023-03-21 04:39:00,0.9933333333333333,0.685608542924366,2023-03-21 04:27:00,2023-03-21 05:56:00,89.0,11.11
J417,M01,Failed,2023-03-21 05:20:00,2023-03-21 06:10:00,0.9933333333333333,0.6934709785097214,2023-03-21 05:56:00,2023-03-21 06:46:00,50.0,6.94
J424,M01,Failed,2023-03-21 06:30:00,2023-03-21 07:34:00,1.0,0.7404827330236305,2023-03-21 06:46:00,2023-03-21 07:50:00,64.0,8.93
J412,M01,Delayed,2023-03-21 04:30:00,2023-03-21 05:16:00,1.0,0.6537217055608174,2023-03-21 07:50:00,2023-03-21 08:36:00,46.0,2.94
J429,M01,Completed,2023-03-21 07:20:00,2023-03-21 08:20:00,0.0,0.43053443166786254,2023-03-21 08:36:00,2023-03-21 09:36:00,60.0,13.16
J392,M01,Completed,2023-03-21 01:10:00,2023-03-21 02:46:00,0.006666666666666667,0.31852772252961314,2023-03-21 09:36:00,2023-03-21 11:12:00,96.0,10.86
J451,M01,Delayed,2023-03-21 11:00:00,2023-03-21 12:49:00,0.9933333333333333,0.6180875430491415,2023-03-21 11:12:00,2023-03-21 13:01:00,109.0,9.01
J379,M01,Completed,2023-03-20 23:00:00,2023-03-20 23:47:00,0.006666666666666667,0.3155700469295122,2023-03-21 13:01:00,2023-03-21 13:48:00,47.0,5.13
J465,M01,Failed,2023-03-21 13:20:00,2023-03-21 13:48:00,0.98,0.639040213869478,2023-03-21 13:48:00,2023-03-21 14:16:00,28.0,2.46
J466,M01,Completed,2023-03-21 13:30:00,2023-03-21 13:51:00,0.0,0.5014857768779917,2023-03-21 14:16:00,2023-03-21 14:37:00,21.0,11.49
J467,M01,Completed,2023-03-21 13:40:00,2023-03-21 14:17:00,0.0,0.375909507760646,2023-03-21 14:37:00,2023-03-21 15:14:00,37.0,10.63
J356,M01,Completed,2023-03-20 19:10:00,2023-03-20 20:51:00,0.006666666666666667,0.3019376158064599,2023-03-21 15:14:00,2023-03-21 16:55:00,101.0,10.12
J481,M01,Delayed,2023-03-21 16:00:00,2023-03-21 16:38:00,0.9933333333333333,0.8186193776428144,2023-03-21 16:55:00,2023-03-21 17:33:00,38.0,8.81
J487,M01,Delayed,2023-03-21 17:00:00,2023-03-21 18:40:00,1.0,0.6383484149638481,2023-03-21 17:33:00,2023-03-21 19:13:00,100.0,9.22
J491,M01,Completed,2023-03-21 17:40:00,2023-03-21 18:16:00,0.0,0.484430629369872,2023-03-21 19:13:00,2023-03-21 19:49:00,36.0,13.87
J477,M01,Completed,2023-03-21 15:20:00,2023-03-21 15:55:00,0.006666666666666667,0.4672898862225149,2023-03-21 19:49:00,2023-03-21 20:24:00,35.0,14.52
J507,M01,Delayed,2023-03-21 20:20:00,2023-03-21 20:42:00,0.9733333333333334,0.9744620915956106,2023-03-21 20:24:00,2023-03-21 20:46:00,22.0,14.51
J504,M01,Delayed,2023-03-21 19:50:00,2023-03-21 21:11:00,1.0,0.805188247766613,2023-03-21 20:46:00,2023-03-21 22:07:00,81.0,13.88
J510,M01,Failed,2023-03-21 20:50:00,2023-03-21 21:51:00,0.9933333333333333,0.8485354592821656,2023-03-21 22:07:00,2023-03-21 23:08:00,61.0,14.14
J516,M01,Failed,2023-03-21 21:50:00,2023-03-21 22:40:00,0.9866666666666667,0.6458747172382684,2023-03-21 23:08:00,2023-03-21 23:58:00,50.0,4.77
J514,M01,Failed,2023-03-21 21:30:00,2023-03-21 23:26:00,0.98,0.6440368457611237,2023-03-21 23:58:00,2023-03-22 01:54:00,116.0,9.83
J503,M01,Completed,2023-03-21 19:40:00,2023-03-21 21:10:00,0.0,0.42825061881732346,2023-03-22 01:54:00,2023-03-22 03:24:00,90.0,14.29
J497,M01,Completed,2023-03-21 18:40:00,2023-03-21 19:03:00,0.006666666666666667,0.41993899550907476,2023-03-22 03:24:00,2023-03-22 03:47:00,23.0,10.07
J480,M01,Completed,2023-03-21 15:50:00,2023-03-21 16:44:00,0.0,0.3007538043210223,2023-03-22 03:47:00,2023-03-22 04:41:00,54.0,5.21
J552,M01,Completed,2023-03-22 03:50:00,2023-03-22 04:58:00,0.0,0.39377803025784347,2023-03-22 04:41:00,2023-03-22 05:49:00,68.0,11.58
J560,M01,Delayed,2023-03-22 05:10:00,2023-03-22 06:29:00,1.0,0.8048584177958082,2023-03-22 05:49:00,2023-03-22 07:08:00,79.0,12.1
J525,M01,Completed,2023-03-21 23:20:00,2023-03-22 00:52:00,0.0,0.2991684453896878,2023-03-22 07:08:00,2023-03-22 08:40:00,92.0,10.02
J581,M01,Completed,2023-03-22 08:40:00,2023-03-22 09:47:00,0.0,0.3247558332889827,2023-03-22 08:40:00,2023-03-22 09:47:00,67.0,11.24
J586,M01,Completed,2023-03-22 09:30:00,2023-03-22 10:58:00,0.006666666666666667,0.34210796844113056,2023-03-22 09:47:00,2023-03-22 11:15:00,88.0,10.05
J592,M01,Failed,2023-03-22 10:30:00,2023-03-22 11:39:00,0.9866666666666667,0.7032973524636792,2023-03-22 11:15:00,2023-03-22 12:24:00,69.0,6.62
J601,M01,Completed,2023-03-22 12:00:00,2023-03-22 13:00:00,0.0,0.4022545956107352,2023-03-22 12:24:00,2023-03-22 13:24:00,60.0,12.62
J600,M01,Completed,2023-03-22 11:50:00,2023-03-22 12:53:00,0.0,0.3824981536209879,2023-03-22 13:24:00,2023-03-22 14:27:00,63.0,10.66
J611,M01,Failed,2023-03-22 13:40:00,2023-03-22 14:50:00,1.0,0.7249036233384785,2023-03-22 14:27:00,2023-03-22 15:37:00,70.0,7.41
J616,M01,Failed,2023-03-22 14:30:00,2023-03-22 15:15:00,0.9666666666666667,0.6630798464902373,2023-03-22 15:37:00,2023-03-22 16:22:00,45.0,6.11
J625,M01,Delayed,2023-03-22 16:00:00,2023-03-22 17:10:00,1.0,0.7497544937644961,2023-03-22 16:22:00,2023-03-22 17:32:00,70.0,11.67
J619,M01,Delayed,2023-03-22 15:00:00,2023-03-22 16:54:00,0.9733333333333334,0.6286473774900092,2023-03-22 17:32:00,2023-03-22 19:26:00,114.0,11.61
J645,M01,Delayed,2023-03-22 19:20:00,2023-03-22 20:10:00,0.9933333333333333,0.7382301393229869,2023-03-22 19:26:00,2023-03-22 20:16:00,50.0,8.42
J641,M01,Delayed,2023-03-22 18:40:00,2023-03-22 20:33:00,0.98,0.5065153589404265,2023-03-22 20:16:00,2023-03-22 22:09:00,113.0,3.17
J651,M01,Delayed,2023-03-22 20:20:00,2023-03-22 20:57:00,1.0,0.739087691839452,2023-03-22 22:09:00,2023-03-22 22:46:00,37.0,6.08
J632,M01,Completed,2023-03-22 17:10:00,2023-03-22 18:01:00,0.013333333333333334,0.4860229409057422,2023-03-22 22:46:00,2023-03-22 23:37:00,51.0,13.64
J610,M01,Failed,2023-03-22 13:30:00,2023-03-22 15:26:00,0.94,0.45756652967615774,2023-03-22 23:37:00,2023-03-23 01:33:00,116.0,2.46
J676,M01,Delayed,2023-03-23 00:30:00,2023-03-23 02:18:00,0.9933333333333333,0.7456363804386448,2023-03-23 01:33:00,2023-03-23 03:21:00,108.0,12.39
J660,M01,Delayed,2023-03-22 21:50:00,2023-03-22 23:50:00,0.98,0.4497161867641241,2023-03-23 03:21:00,2023-03-23 05:21:00,120.0,3.14
J695,M01,Delayed,2023-03-23 03:40:00,2023-03-23 05:00:00,1.0,0.6512250939409271,2023-03-23 05:21:00,2023-03-23 06:41:00,80.0,8.73
J696,M01,Delayed,2023-03-23 03:50:00,2023-03-23 05:44:00,0.98,0.6030463819408969,2023-03-23 06:41:00,2023-03-23 08:35:00,114.0,8.34
J668,M01,Completed,2023-03-22 23:10:00,2023-03-22 23:39:00,0.0,0.43406752423288864,2023-03-23 08:35:00,2023-03-23 09:04:00,29.0,11.77
J727,M01,Delayed,2023-03-23 09:00:00,2023-03-23 09:30:00,1.0,0.8978833741720186,2023-03-23 09:04:00,2023-03-23 09:34:00,30.0,12.34
J694,M01,Completed,2023-03-23 03:30:00,2023-03-23 03:53:00,0.006666666666666667,0.3881328030833995,2023-03-23 09:34:00,2023-03-23 09:57:00,23.0,9.15
J648,M01,Completed,2023-03-22 19:50:00,2023-03-22 20:46:00,0.0,0.3833098242783313,2023-03-23 09:57:00,2023-03-23 10:53:00,56.0,11.0
J738,M01,Failed,2023-03-23 10:50:00,2023-03-23 12:04:00,0.98,0.8567589980859655,2023-03-23 10:53:00,2023-03-23 12:07:00,74.0,14.94
J741,M01,Failed,2023-03-23 11:20:00,2023-03-23 11:58:00,1.0,0.8495496485719217,2023-03-23 12:07:00,2023-03-23 12:45:00,38.0,12.99
J742,M01,Completed,2023-03-23 11:30:00,2023-03-23 12:45:00,0.006666666666666667,0.42327170661758773,2023-03-23 12:45:00,2023-03-23 14:00:00,75.0,12.89
J753,M01,Failed,2023-03-23 13:20:00,2023-03-23 14:10:00,0.98,0.624764679233302,2023-03-23 14:00:00,2023-03-23 14:50:00,50.0,3.29
J740,M01,Completed,2023-03-23 11:10:00,2023-03-23 12:08:00,0.0,0.380924887378815,2023-03-23 14:50:00,2023-03-23 15:48:00,58.0,11.98
J617,M01,Completed,2023-03-22 14:40:00,2023-03-22 15:46:00,0.0,0.3592031814186777,2023-03-23 15:48:00,2023-03-23 16:54:00,66.0,11.05
J774,M01,Completed,2023-03-23 16:50:00,2023-03-23 17:59:00,0.006666666666666667,0.4764476997974564,2023-03-23 16:54:00,2023-03-23 18:03:00,69.0,13.76
J620,M01,Completed,2023-03-22 15:10:00,2023-03-22 17:02:00,0.006666666666666667,0.3581180321460646,2023-03-23 18:03:00,2023-03-23 19:55:00,112.0,13.5
